forecast_model,feature_set,cv_kind,estimator,n,n_features,mae,r2
patchtst_small,physical_plus_shift,group_by_cell,ridge,52920,23,1.1391385390782687,-0.005061831261539362
patchtst_small,physical_plus_shift,group_by_cell,random_forest,52920,23,1.2100479217244517,-0.25375775500952136
regional_doy_climatology,physical_knowledge,leave_target_region_out,ridge,52920,12,0.7067195816962016,-0.03609807124512021
regional_doy_climatology,physical_knowledge,leave_target_region_out,random_forest,52920,12,0.7233931432387432,-0.059289549645059836
regional_doy_climatology,generic_shift,leave_target_region_out,ridge,52920,11,0.6322285826687244,0.05651378525977535
regional_doy_climatology,generic_shift,leave_target_region_out,random_forest,52920,11,0.8013076263804505,-0.49614576260501386
regional_doy_climatology,physical_plus_shift,leave_target_region_out,ridge,52920,23,0.5478054955447285,0.21560920301813158
regional_doy_climatology,physical_plus_shift,leave_target_region_out,random_forest,52920,23,0.7031098075853786,-0.3632739911458436
regional_doy_climatology,physical_knowledge,group_by_cell,ridge,52920,12,0.6632864872829781,0.03997097038987818
regional_doy_climatology,physical_knowledge,group_by_cell,random_forest,52920,12,0.6671547640661432,0.0317010661756828
regional_doy_climatology,generic_shift,group_by_cell,ridge,52920,11,0.44636639125288186,0.4151343916378114
regional_doy_climatology,generic_shift,group_by_cell,random_forest,52920,11,0.10723053152911491,0.9678616627093811
regional_doy_climatology,physical_plus_shift,group_by_cell,ridge,52920,23,0.4014798391072799,0.5759799270811284
regional_doy_climatology,physical_plus_shift,group_by_cell,random_forest,52920,23,0.10852790823142364,0.8783236597653469
spatial_knn_ridge,physical_knowledge,leave_target_region_out,ridge,52920,12,0.07144066452704381,-0.16255023503452515
spatial_knn_ridge,physical_knowledge,leave_target_region_out,random_forest,52920,12,0.06888155712980511,-0.015424067523141849
spatial_knn_ridge,generic_shift,leave_target_region_out,ridge,52920,11,0.07228267654932281,-0.14682914944749337
spatial_knn_ridge,generic_shift,leave_target_region_out,random_forest,52920,11,0.09272487971444851,-0.8867506388297886
spatial_knn_ridge,physical_plus_shift,leave_target_region_out,ridge,52920,23,0.070951043203663,-0.27326609211512554
spatial_knn_ridge,physical_plus_shift,leave_target_region_out,random_forest,52920,23,0.0880369762216347,-0.8293026533118333
spatial_knn_ridge,physical_knowledge,group_by_cell,ridge,52920,12,0.06585369378634505,0.045328274697464255
spatial_knn_ridge,physical_knowledge,group_by_cell,random_forest,52920,12,0.06007732166739818,0.29538270669991273
spatial_knn_ridge,generic_shift,group_by_cell,ridge,52920,11,0.056969789329653485,0.21450285615440823
spatial_knn_ridge,generic_shift,group_by_cell,random_forest,52920,11,0.02916419210100439,0.6532732102162586
spatial_knn_ridge,physical_plus_shift,group_by_cell,ridge,52920,23,0.0560509893861863,0.1682647352379999
spatial_knn_ridge,physical_plus_shift,group_by_cell,random_forest,52920,23,0.021177252316996006,0.8098394032412382
stgcn_diffusion,physical_knowledge,leave_target_region_out,ridge,52920,12,0.07194040206443104,0.076523898045473
stgcn_diffusion,physical_knowledge,leave_target_region_out,random_forest,52920,12,0.06468320032122853,0.11117711186764045
stgcn_diffusion,generic_shift,leave_target_region_out,ridge,52920,11,0.07720868687432379,-0.03828517910580409
stgcn_diffusion,generic_shift,leave_target_region_out,random_forest,52920,11,0.07217889814024593,-0.11431739996257928
stgcn_diffusion,physical_plus_shift,leave_target_region_out,ridge,52920,23,0.07648422481064159,0.0530169796640636
stgcn_diffusion,physical_plus_shift,leave_target_region_out,random_forest,52920,23,0.0684769216378328,0.005037496402957364
stgcn_diffusion,physical_knowledge,group_by_cell,ridge,52920,12,0.06934801402431114,0.1281983478608737
stgcn_diffusion,physical_knowledge,group_by_cell,random_forest,52920,12,0.061681090527377185,0.195525582207975
stgcn_diffusion,generic_shift,group_by_cell,ridge,52920,11,0.07319304454225478,0.004374084070935869
stgcn_diffusion,generic_shift,group_by_cell,random_forest,52920,11,0.06372260065442009,0.052792526349079494
stgcn_diffusion,physical_plus_shift,group_by_cell,ridge,52920,23,0.06966923739512722,0.1358541076327655
stgcn_diffusion,physical_plus_shift,group_by_cell,random_forest,52920,23,0.046317608915445146,0.3244849109152047
