forecast_model,feature_set,cv_kind,estimator,n,n_features,mae,r2
patchtst_small,physical_plus_shift,leave_target_region_out,ridge,52920,23,1.1535268615717247,-0.004316111848038595
patchtst_small,physical_plus_shift,leave_target_region_out,random_forest,52920,23,1.1804026807094805,-0.051645530541597706
patchtst_small,physical_knowledge,group_by_cell,ridge,52920,12,1.1538524703464643,-0.006241065528333367
patchtst_small,physical_knowledge,group_by_cell,random_forest,52920,12,1.190949171976551,-0.09821203197277217
patchtst_small,generic_shift,group_by_cell,ridge,52920,11,1.1513454377973278,-0.0002104206006601217
patchtst_small,generic_shift,group_by_cell,random_forest,52920,11,1.1539578693463892,-0.006043161698455757
patchtst_small,physical_plus_shift,group_by_cell,ridge,52920,23,1.1539430621702589,-0.006298975232580384
patchtst_small,physical_plus_shift,group_by_cell,random_forest,52920,23,1.1911008848693896,-0.09869059633202681
regional_doy_climatology,physical_knowledge,leave_target_region_out,ridge,52920,12,0.7051954437050604,-0.036333509577515244
regional_doy_climatology,physical_knowledge,leave_target_region_out,random_forest,52920,12,0.7229982634859535,-0.059906260450836246
regional_doy_climatology,generic_shift,leave_target_region_out,ridge,52920,11,0.6330748751599392,0.05370909282486269
regional_doy_climatology,generic_shift,leave_target_region_out,random_forest,52920,11,0.7964747268364475,-0.47435853107253156
regional_doy_climatology,physical_plus_shift,leave_target_region_out,ridge,52920,23,0.544678573620538,0.21593204494476426
regional_doy_climatology,physical_plus_shift,leave_target_region_out,random_forest,52920,23,0.6910480879745556,-0.3354629900344106
regional_doy_climatology,physical_knowledge,group_by_cell,ridge,52920,12,0.6599547413837736,0.03731936219691301
regional_doy_climatology,physical_knowledge,group_by_cell,random_forest,52920,12,0.6535177989189145,0.04947739642195781
regional_doy_climatology,generic_shift,group_by_cell,ridge,52920,11,0.4630856001429324,0.38847545188351773
regional_doy_climatology,generic_shift,group_by_cell,random_forest,52920,11,0.10750162385040157,0.9650904082796691
regional_doy_climatology,physical_plus_shift,group_by_cell,ridge,52920,23,0.40152678123567065,0.567416775298326
regional_doy_climatology,physical_plus_shift,group_by_cell,random_forest,52920,23,0.12661568128031547,0.7624382061109254
spatial_knn_ridge,physical_knowledge,leave_target_region_out,ridge,52920,12,0.07235751907306705,-0.14235529399609947
spatial_knn_ridge,physical_knowledge,leave_target_region_out,random_forest,52920,12,0.07003091194256394,-0.004142814763508307
spatial_knn_ridge,generic_shift,leave_target_region_out,ridge,52920,11,0.07434902789214128,-0.16817193962711863
spatial_knn_ridge,generic_shift,leave_target_region_out,random_forest,52920,11,0.09734618533982214,-0.9504249626514383
spatial_knn_ridge,physical_plus_shift,leave_target_region_out,ridge,52920,23,0.07209281040306717,-0.25295887058887834
spatial_knn_ridge,physical_plus_shift,leave_target_region_out,random_forest,52920,23,0.09124881255642282,-0.8066747039364626
spatial_knn_ridge,physical_knowledge,group_by_cell,ridge,52920,12,0.06786355837003002,0.000997522944384599
spatial_knn_ridge,physical_knowledge,group_by_cell,random_forest,52920,12,0.06062311082861808,0.3176804954346252
spatial_knn_ridge,generic_shift,group_by_cell,ridge,52920,11,0.05899331831794174,0.19830127310752832
spatial_knn_ridge,generic_shift,group_by_cell,random_forest,52920,11,0.029610635475481747,0.6536567478241233
spatial_knn_ridge,physical_plus_shift,group_by_cell,ridge,52920,23,0.057830056477999936,0.13196921414516527
spatial_knn_ridge,physical_plus_shift,group_by_cell,random_forest,52920,23,0.020150159621891636,0.8382183854895404
stgcn_diffusion,physical_knowledge,leave_target_region_out,ridge,52920,12,0.08215164350926889,0.06727009491356595
stgcn_diffusion,physical_knowledge,leave_target_region_out,random_forest,52920,12,0.07458288007946554,0.13048347721994658
stgcn_diffusion,generic_shift,leave_target_region_out,ridge,52920,11,0.09169548531390763,-0.06619078020868119
stgcn_diffusion,generic_shift,leave_target_region_out,random_forest,52920,11,0.09739989779761066,-0.3536059906771256
stgcn_diffusion,physical_plus_shift,leave_target_region_out,ridge,52920,23,0.0848351403577341,0.047309725264726654
stgcn_diffusion,physical_plus_shift,leave_target_region_out,random_forest,52920,23,0.07795546984764361,0.06018451996030605
stgcn_diffusion,physical_knowledge,group_by_cell,ridge,52920,12,0.0814008756589791,0.07472026015162314
stgcn_diffusion,physical_knowledge,group_by_cell,random_forest,52920,12,0.07263248000551972,0.21214394281654725
stgcn_diffusion,generic_shift,group_by_cell,ridge,52920,11,0.0854548048651015,-0.001866720392804888
stgcn_diffusion,generic_shift,group_by_cell,random_forest,52920,11,0.07201586911776232,0.07270295886941713
stgcn_diffusion,physical_plus_shift,group_by_cell,ridge,52920,23,0.08198510256708727,0.07805985042254393
stgcn_diffusion,physical_plus_shift,group_by_cell,random_forest,52920,23,0.05593859134859071,0.33839554539352934
